Nr.,Categorie,Produs,Producător,Țară,Preț (MDL)
573,Vitamine și Minerale,Floral Aise caps. N20 Biessen,Biose Industrie,Franta,"260,5"
574,Mamă și Copil,Florbiotic Baby Colics pic.orale probiotice (0+) 10ml,PharmaS d.o.o.,Croatia,252
575,Vitamine și Minerale,Florbiotic caps. N10,"Lallemand Pharma AG (prod.: Bruschettini S.r.l., Italia; GM Pharmaceuticals Ltd., Georgia)",Canada,"151,2"
576,Sănătate - Parafarmaceutice,Flosteron sol.inj. 1ml N5,"KRKA d.d., Novo mesto",Slovenia,"210,77"
577,Sănătate - Medicamente OTC,Floxadex susp. oft/aur 10ml (ciprofloxacin),Liqvor SAI,Armenia,"60,27"
578,Vitamine și Minerale,Fluzac comp. 150mg N1,FDC Limited,India,"34,39"
579,Vitamine și Minerale,Fluzac comp. 150mg N1,FDC Limited,India,"34,17"
580,Mamă și Copil,Foarfece Baby Care cu capac protector (210109S),Sun Baby,Polonia,"130,58"
581,Sănătate - Medicamente OTC,Fokusin caps. 0.4mg N15x2 (tamsulosine) Zentiva,Zentiva a.s.,Cehia,"76,8"
582,Sănătate - Medicamente OTC,Folicil comp.5 mg N10x6,BIAL-Portela & C. S.A.,Portugalia,"70,48"
583,Sănătate - Medicamente OTC,Folifer comp. N10x6,BIAL-Portela & C. S.A.,Portugalia,"201,17"
584,Sănătate - Medicamente OTC,Forcapil caps. N60,Arkopharma,Franta,"252,5"
585,Sănătate - Parafarmaceutice,Forcapil sampun 200 ml,Arcopharma,Franta,"193,75"
586,Sănătate - Parafarmaceutice,Forsef inj 1gr i/m N1,Bilim Pharmaceuticals AS,Turcia,"49,5"
587,Sănătate - Parafarmaceutice,Forsef inj 1gr i/v N1,Bilim Pharmaceuticals AS,Turcia,"54,8"
588,Sănătate - Parafarmaceutice,Forsef inj 1gr i/v N1,Bilim Pharmaceuticals AS,Turcia,"55,14"
589,Sănătate - Medicamente OTC,Fortin comp. film. 100mg N15,Bilim Pharmaceuticals AS,Turcia,"55,46"
590,Sănătate - Medicamente OTC,Fortin comp. film. 100mg N15,Bilim Pharmaceuticals AS,Turcia,"55,47"
591,Sănătate - Medicamente OTC,Forxiga comp. 10mg N10x3(AstraZeneca),"AstraZeneca AB, Suedia; AstraZeneca UK Ltd, Marea Britanie",Marea Britanie,"636,4"
592,Sănătate - Medicamente OTC,Fromilid comp.film. 250mg N14,"KRKA d.d., Novo mesto",Slovenia,"74,9"
593,Sănătate - Medicamente OTC,Fromilid comp.film. 500mg N14,"KRKA d.d., Novo mesto",Slovenia,"103,2"
594,Sănătate - Medicamente OTC,Fromilid comp.film. 500mg N14,"KRKA d.d., Novo mesto",Slovenia,"103,22"
595,Sănătate - Medicamente OTC,Fromilid comp.film. 500mg N14,"KRKA d.d., Novo mesto",Slovenia,"103,3"
596,Sănătate - Medicamente OTC,Fromilid gran./susp. orala 125 mg/5 ml 60ml N1,"KRKA d.d., Novo mesto",Slovenia,"114,49"
597,Sănătate - Medicamente OTC,Fucitec	crema 20mg/g 20g N1,"Bilim Pharmaceuticals AS (prod.: Bilim Pharmaceuticals AS, Turcia; Idol Ilac Dolum Sanayii ve Ticare",Turcia,"62,3"
598,Sănătate - Medicamente OTC,Fucitec	crema 20mg/g 20g N1,"Bilim Pharmaceuticals AS (prod.: Bilim Pharmaceuticals AS, Turcia; Idol Ilac Dolum Sanayii ve Ticare",Turcia,"66,44"
599,Vitamine și Minerale,Fucitec Plus crema 20mg/1 mg/g 30g,Bilim Ilac Sanayi Ve Ticaret A.?.,Turcia,"106,76"
600,Sănătate - Medicamente OTC,Funit 100mg caps. N15 (itraconazol),"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"105,37"
601,Sănătate - Medicamente OTC,Funit 100mg caps. N15 (itraconazol),"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"105,8"
602,Sănătate - Medicamente OTC,Furacilina comp.20mg N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"18,2"
603,Sănătate - Medicamente OTC,Furagina comp. 0.05 N30 (Letonia),OlainFarm SA,Letonia,"49,05"
604,Sănătate - Medicamente OTC,Furagina comp. 0.05 N30 (Letonia),OlainFarm SA,Letonia,"51,16"
605,Sănătate - Medicamente OTC,Furosemid-BP sol. inj. 10 mg/ml  2 ml N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"18,69"
606,Sănătate - Medicamente OTC,Fusys® gel 5 mg/g 30 g  N1,Kusum Healthcare Pvt.Ltd,India,"87,57"
607,Sănătate - Medicamente OTC,Gabagamma 300mg caps. N10x10,"Worwag Pharma GmbH&Co.KG (prod.: Catalent Germany Schorndorf GmbH, Germania; Kern Pharma SL, Spania;",Germania,"313,96"
608,Sănătate - Medicamente OTC,Gabagamma 400mg caps. N10x10,"Worwag Pharma GmbH&Co.KG (prod.: Catalent Germany Schorndorf GmbH, Germania; Kern Pharma SL, Spania;",Germania,"426,88"
609,Sănătate - Parafarmaceutice,Galazolin 0.05% 10ml,"Polfa SA, Warszawa",Polonia,"24,46"
610,Sănătate - Medicamente OTC,Gaviscon Mentol comp. masticab. N8x2,Reckitt Benckiser Healthcare (UK) Limited,Marea Britanie,"83,58"
611,Sănătate - Parafarmaceutice,Gel 911 Revmalgon 100ml,Twins Tek,Rusia,"115,17"
612,Vitamine și Minerale,Gel fata C&C contra acnee curatare150ml,Johnson & Johnson,Grecia,"211,59"
613,Vitamine și Minerale,Gel fata C&C contra acnee curatare150ml,Johnson & Johnson,Grecia,"366,93"
614,Frumusețe și Igienă - Igienă Personală,Gel intim 200ml Biokon,Biocon,Ucraina,"193,99"
615,Sănătate - Parafarmaceutice,Gel Puterea Calului 250ml,Crevil Cosmetics GMBH,Germania,"86,45"
616,Frumusețe și Igienă - Îngrijire Corp/Față,Gel-crema fata C&C Curatire profunda 150ml,Johnson & Johnson,Anglia,"159,34"
617,Sănătate - Parafarmaceutice,Genunchier (9911)  N3 Tonus Elast,Tonus elast,Latvia,"146,13"
618,Vitamine și Minerale,"Getnol pulbere pentru sol. orala 73,69g N4",Bion Corporation,Anglia,"197,5"
619,Vitamine și Minerale,Giardinophyt solutie orala 30ml ,"Plant Extrakt SRL, SC",Romania,"203,13"
620,Mamă și Copil,Glicerina supp. copii 1.41g N6x2(Antibiotice),"Antibiotice SA, SC",Romania,"56,27"
621,Vitamine și Minerale,Glicina Forte comp. 300mg N10x3 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"57,09"
622,Sănătate - Medicamente OTC,Glucophage® comp. film. 500 mg N15x4,"Merck Sante s.a.s. (prod.: Merck Sante s.a.s., Franta; Merck SL, Spania)",Franta,"72,89"
623,Sănătate - Medicamente OTC,Glucophage® comp. film. 500 mg N15x4,"Merck Sante s.a.s. (prod.: Merck Sante s.a.s., Franta; Merck SL, Spania)",Franta,"70,83"
624,Sănătate - Medicamente OTC,Glucophage® comp. film. 500 mg N15x4,"Merck Sante s.a.s. (prod.: Merck Sante s.a.s., Franta; Merck SL, Spania)",Franta,"70,65"
625,Sănătate - Medicamente OTC,Glyclada® comp. elib. prel. 60 mg N15x4,"KRKA d.d., Novo mesto",Slovenia,"109,13"
626,Sănătate - Parafarmaceutice,Golden Star Balsam 4g N1x10,National Day Pharmaceutical JSC HCM City-Nadyphar,Vietnam,"203,98"
627,Sănătate - Parafarmaceutice,Golden Star Balsam 4g N1x10,National Day Pharmaceutical JSC HCM City-Nadyphar,Vietnam,"225,64"
628,Sănătate - Medicamente OTC,Grinterol® caps. 250mg N10x10,"Grindeks SA, Letonia",Rusia,474
629,Sănătate - Medicamente OTC,Grinterol® caps. 250mg N10x5,"Grindeks SA, Letonia",Rusia,251
630,Sănătate - Medicamente OTC,Gripgo® comp. N10,Kusum Healthcare Pvt.Ltd,India,20
631,Sănătate - Medicamente OTC,Gripgo® comp. N10,Kusum Healthcare Pvt.Ltd,India,"22,38"
632,Vitamine și Minerale,Gripomix cu fructoza (fructe de padure) pulb./sol. orala 10g N5,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Belarus,"51,01"
633,Mamă și Copil,Gripovit Junior SBA pulbere N10 Zdrovit,NP Zdrovit,Polonia,"112,76"
634,Sănătate - Medicamente OTC,Griseofulvin 125 mg comp.N40,"UCF Borsceagov SAP,CSP",Ucraina,"45,09"
635,Sănătate - Parafarmaceutice,Gynacoheel 30ml pic. orale,Biologische Heilmittel Heel GmbH,Germania,"144,37"
636,Vitamine și Minerale,Gynex® Forte ovule 750 mg/200 mg N7,Kusum Healthcare Pvt.Ltd,India,"139,2"
637,Vitamine și Minerale,Gynophilus Restore caps.vag. N2 Biessen,Probionov,Franta,"183,56"
638,Sănătate - Medicamente OTC,Helides caps. gastrorez.40 mg N14x2 Zentiva,"Zentiva k.s. (prod.: Ethypharm, Franta; Zentiva S,A,, SC, Romania)",Cehia,"117,87"
639,Sănătate - Medicamente OTC,Helides caps. gastrorez.40 mg N14x2 Zentiva,"Zentiva k.s. (prod.: Ethypharm, Franta; Zentiva S,A,, SC, Romania)",Cehia,"115,06"
640,Sănătate - Medicamente OTC,Helmintox susp. orala 125mg/2.5ml 15ml,Laboratoire Innotech International,Franta,"49,25"
641,Sănătate - Medicamente OTC,Hemomycin comp. film. 500 mg N3,Hemofarm AD,Serbia si M.,"42,1"
642,Sănătate - Medicamente OTC,Hemorzon supp. N6 (antihemoroidal)(Antibiotice),"Antibiotice SA, SC",Romania,"44,07"
643,Sănătate - Parafarmaceutice,Hemorzon® ung. 18 g N1(Antibiotice),"Antibiotice SA, SC",Romania,"40,86"
644,Mamă și Copil,Hepaid junior sirop 100ml,Siddhayu Ayurvedic Research,India,"188,67"
645,Sănătate - Parafarmaceutice,Heparina ung. 25g (Nijfarm),Nijfarm SAD,Rusia,"21,89"
646,Sănătate - Medicamente OTC,Hepeel comp. s/l N50,Biologische Heilmittel Heel GmbH,Germania,"92,94"
647,Sănătate - Medicamente OTC,Heptral® comp. gastrorez. 500mg N10x2,"Abbott SpA (prod.: Hospira SpA, Italia)",Germania,"635,4"
648,Sănătate - Medicamente OTC,Heptral® comp. gastrorez. 500mg N10x2,"Abbott SpA (prod.: Hospira SpA, Italia)",Germania,"594,35"
649,Sănătate - Medicamente OTC,Heptral® pulb.+solv./sol. inj. 500 mg  N5 + 5 ml N5,"Abbott SpA (prod.: Hospira SpA, Italia)",Germania,"632,34"
650,Sănătate - Medicamente OTC,Heptral® pulb.+solv./sol. inj. 500 mg  N5 + 5 ml N5,"Abbott SpA (prod.: Hospira SpA, Italia)",Germania,"659,97"
651,Sănătate - Medicamente OTC,Herbastress comp. N30,Grindeks SA,Letonia,"228,08"
652,Sănătate - Medicamente OTC,Herbion Iceland moss sirop 150ml (TVA 8%),"KRKA d.d., Novo mesto",Slovenia,"79,73"
653,Sănătate - Medicamente OTC,Hidrocortison susp. inj 5ml N1 (Gedeon),Gedeon Richter PLC,Ungaria,"29,45"
654,Sănătate - Medicamente OTC,Holihep caps. N30 Vitapharm,"Vitapharm-Com SRL, IM",Republica Moldova,"243,51"
655,Vitamine și Minerale,Hylo Care (acid hyaluronic 0.1%+dexpantenol 2%) pic.oft.10ml,Ursapharm Arzneimittel GmbH&Co.KG,Germania,"308,75"
656,Sănătate - Medicamente OTC,"Hylo Comod® pic. oft., sol. 1 mg/ml 10 ml (TVA20)",Ursapharm Arzneimittel GmbH&Co.KG,Germania,"257,07"
657,Vitamine și Minerale,Hylo Gel (acid hyaluronic 2%) pic.oft.10ml ,Ursapharm Arzneimittel GmbH&Co.KG,Germania,"292,5"
658,Vitamine și Minerale,Ibufen cu aroma de zmeura susp. orala 100 mg/5 ml 100 g N1,Medana Pharma SA,Polonia,"51,97"
659,Frumusețe și Igienă - Protecție Solară,Ibufen® Forte cu aroma de capsuni susp. orala 200 mg/5 ml 100 ml N1,"Pharmaceutical Works Polpharma S.A. (prod.: Actavis hf., Iceland, Islanda; Pharmaceutical Works Polp",Polonia,"86,59"
660,Vitamine și Minerale,Ibufen® Forte cu aroma de zmeura susp. orala 200 mg/5 ml 100 ml N1,"Pharmaceutical Works Polpharma S.A. (prod.: Actavis hf., Iceland, Islanda; Pharmaceutical Works Polp",Polonia,"91,88"
661,Vitamine și Minerale,Ibufen® Forte cu aroma de zmeura susp. orala 200 mg/5 ml 100 ml N1,"Pharmaceutical Works Polpharma S.A. (prod.: Actavis hf., Iceland, Islanda; Pharmaceutical Works Polp",Polonia,"86,63"
662,Mamă și Copil,Ibufen® Junior caps. moi 200 mg N10x2,"Polpharma SA (prod.: Medana Pharma SA, Polonia; Polpharma SA, Polonia)",Polonia,"50,82"
663,Sănătate - Medicamente OTC,Ibuprofen comp.film. 200mg N10x5,Technolog SAP,Ucraina,"52,9"
664,Sănătate - Medicamente OTC,Ibuprofen-BP com.film. 200mg N10x2 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"18,32"
665,Sănătate - Medicamente OTC,Ibutin® 300 mg comp. film. elib. prel. 300 mg N10x2 Zentiva,"Zentiva SA, SC",Romania,172
666,Sănătate - Medicamente OTC,Ideos comp. mast N30,Laboratoire Innotech International,Franta,"84,05"
667,Vitamine și Minerale,Idrink cu aroma de lamaie pulb./sol. orala 650 mg/10 mg N10,Farmak SAP,Ucraina,"85,58"
668,Vitamine și Minerale,Idrink cu aroma de lamaie pulb./sol. orala 650 mg/10 mg N10,Farmak SAP,Ucraina,"78,8"
669,Vitamine și Minerale,Imudon® comp. de supt N8x5,Farmstandart-Tomschimfarm SAD,Rusia,"185,06"
670,Sănătate - Medicamente OTC,Imunoglukan P4H 100mg caps. N10x3,PLEURAN s.r.o.Nove Zahrady,Slovacia,378
671,Sănătate - Medicamente OTC,Imunoglukan sirop P4H 120ml ,PLEURAN s.r.o.Nove Zahrady,Slovacia,"349,2"
672,Sănătate - Medicamente OTC,Imunol Betaglucan sirop 150ml 1luni+ Bioslo,Nuvita Ilac ve Kimya San,Turcia,"272,25"
673,Sănătate - Medicamente OTC,Imunol Sambucus sirop 150ml 1an+ Bioslo,Nuvita Ilac ve Kimya San,Turcia,"255,38"
674,Sănătate - Medicamente OTC,Imunotus caps.N20 Fiterman,"Fiterman Pharma SRL SC (prod.: Fiterman Pharma SRL SC, Romania)",Romania,"152,81"
675,Sănătate - Medicamente OTC,Inaprol Fort comp.500mg N10x2,"Bilim Pharmaceuticals AS (prod.: Bilim Pharmaceuticals AS, Turcia; Idol Ilac Dolum Sanayii ve Ticare",Turcia,"74,01"
676,Sănătate - Medicamente OTC,Indapamid 1.5mg comp.film. N30 LPH,"LaborMed Pharma SA, SC",Romania,"41,31"
677,Sănătate - Medicamente OTC,Indometacina supp. 50mg N10 (FP),FarmaPrim SRL,Republica Moldova,"33,27"
678,Mamă și Copil,Infant Uno Prunisor Lax (tranzit intestinal optim) 6luni+ sirop 100ml LPH,Solacium Pharma,Republic of San Marino,"245,25"
679,Vitamine și Minerale,Inflanor Forte (Ibuprofen) caps.moi 400 mg N10,"Alvogen IPCo S.ar.l (prod.: Genepharm SA, Grecia)",Luxemburg,"116,33"
680,Vitamine și Minerale,Inflanor Forte (Ibuprofen) caps.moi 400 mg N10,"Alvogen IPCo S.ar.l (prod.: Genepharm SA, Grecia)",Luxemburg,"116,92"
681,Sănătate - Medicamente OTC,Inflanor Plus comp.film.500mg/200mg N10 Zentiva,Zentiva k.s.,Romania,"48,5"
682,Vitamine și Minerale,Iod sol. 5% 20ml (Cojusna) N1,Farmacia Cojusna SRL,Republica Moldova,"19,5"
683,Vitamine și Minerale,Iodomarin® 200 comp.200 mcg N25x4,Berlin-Chemie AG (Menarini Group),Germania,"75,05"
684,Sănătate - Medicamente OTC,Ipigrix® comp. 20 mg N25x2,Grindeks SA,Letonia,"184,45"
685,Sănătate - Medicamente OTC,Ipigrix®sol. inj.15 mg/ml 1 ml N5x2,"Grindeks SA (prod.: Hoechst-Biotika spol. s.r.o., Slovacia; Sanitas SA, Letonia)",Letonia,"307,14"
686,Sănătate - Medicamente OTC,Ipigrix®sol. inj.15 mg/ml 1 ml N5x2,"Grindeks SA (prod.: Hoechst-Biotika spol. s.r.o., Slovacia; Sanitas SA, Letonia)",Letonia,"304,36"
687,Sănătate - Medicamente OTC,Irda 150 mg comp. film. N14x2,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"92,99"
688,Sănătate - Medicamente OTC,Isicom® comp 250 mg/25 mg N10x10,Desitin Arzneimittel GmbH,Germania,"398,13"
689,Sănătate - Medicamente OTC,Ismigen® comp. subling. 7 mg N10x3,"Lallemand Pharma AG (prod.: Bruschettini S.r.l., Italia; GM Pharmaceuticals Ltd., Georgia)",Elvetia,"331,01"
690,Sănătate - Medicamente OTC,Itomed® comp. film.50 mg N20x2,PRO.MED.CS Praha a.s.,Cehia,"310,15"
691,Sănătate - Medicamente OTC,Januvia comp. film. 100mg N14x2,"Merck Sharp & Dohme IDEA GmbH, Elveţia(PROD: Organon Pharma (UK) Limited, Marea Britanie; )",Elvetia,"375,76"
692,Sănătate - Medicamente OTC,Jinqiancao comp. 200mg N100 (silington) ,DGH Pharma,Vietnam,"237,63"
693,Mamă și Copil,Jucarie pentru dentitie cu apa Infantino (roz),China,China,"45,72"
694,Sănătate - Medicamente OTC,KagOcel® comp.12 mg N10x2,NEARMEDIC PLUS  SRL,Rusia,"131,73"
695,Sănătate - Medicamente OTC,KagOcel® comp.12 mg N10x3,NEARMEDIC PLUS  SRL,Rusia,"183,21"
696,Sănătate - Medicamente OTC,Kandizol caps. 150mg N2,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"80,72"
697,Sănătate - Medicamente OTC,Kandizol caps. 150mg N2,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"80,32"
698,Sănătate - Parafarmaceutice,Kapsikam ung. 50g,"Grindeks SA (prod.: Uzina farmaceutica din Tallin SA, Estonia)",Estonia,"100,09"
699,Sănătate - Parafarmaceutice,Kapsikam ung. 50g,"Grindeks SA (prod.: Uzina farmaceutica din Tallin SA, Estonia)",Estonia,"95,83"
700,Sănătate - Medicamente OTC,Ketilept comp. film. 200 mg N10x6 (Egis),Egis Pharmaceuticals PLC,Ungaria,"327,36"
701,Vitamine și Minerale,Ketonal Forte comp. 100mg  N20,Lek Pharmaceuticals d.d.,Slovenia,"44,05"
702,Sănătate - Parafarmaceutice,Ketonal gel 2.5% 50g,Lek Pharmaceuticals d.d.,Slovenia,"58,57"
703,Frumusețe și Igienă - Îngrijire Păr,Ketoral® sampon 20mg/ml 100ml N1,"Bilim Pharmaceuticals AS (prod.: Bilim Pharmaceuticals AS, Turcia; Idol Ilac Dolum Sanayii ve Ticare",Turcia,"69,41"
704,Frumusețe și Igienă - Îngrijire Păr,Ketoral® sampon 20mg/ml 100ml N1,"Bilim Pharmaceuticals AS (prod.: Bilim Pharmaceuticals AS, Turcia; Idol Ilac Dolum Sanayii ve Ticare",Turcia,"69,49"
705,Vitamine și Minerale,Ketorolac sol.inj. 3%1 ml N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"58,74"
706,Sănătate - Medicamente OTC,Ketotifen Sopharma comp. 1mg N10x3,Sopharma PLC,Bulgaria,"33,66"
707,Mamă și Copil,Kids Gummy Calcium D3 N30 ursuleti gumati Leben,Leben,Marea Britanie,"243,11"
708,Mamă și Copil,Kids Gummy Multivit N30 ursuleti gumati Leben,Leben,Marea Britanie,"222,11"
709,Mamă și Copil,Kids Gummy Omega 3 ursuleti gumati N30 Leben,Leben,Marea Britanie,"244,32"
710,Sănătate - Medicamente OTC,Klacid® SR comp. film. 500 mg N7x2,"Abbott SpA (prod.: Hospira SpA, Italia)",Elvetia,"303,24"
711,Sănătate - Medicamente OTC,Klacid® SR comp. film. 500 mg N7x2,"Abbott SpA (prod.: Hospira SpA, Italia)",Elvetia,"292,09"
712,Sănătate - Medicamente OTC,Klamoks® BID 1000mg comp.film.875mg+125mg N5x2,Bilim Pharmaceuticals AS,Turcia,"56,98"
713,Sănătate - Medicamente OTC,Klamoks® BID 1000mg comp.film.875mg+125mg N5x2,Bilim Pharmaceuticals AS,Turcia,"62,04"
714,Sănătate - Medicamente OTC,Klamoks® BID 1000mg comp.film.875mg+125mg N5x2,Bilim Pharmaceuticals AS,Turcia,"61,67"
715,Sănătate - Medicamente OTC,Klamoks® BID 1000mg comp.film.875mg+125mg N5x2,Bilim Pharmaceuticals AS,Turcia,"62,07"
716,Sănătate - Medicamente OTC,Klamoks® BID Fort pulb./susp. orala 400mg + 57mg/5ml 70ml N1,Bilim Pharmaceuticals AS,Turcia,"57,36"
717,Sănătate - Medicamente OTC,Klamoks® BID Fort pulb./susp. orala 400mg + 57mg/5ml 70ml N1,Bilim Pharmaceuticals AS,Turcia,"56,96"
718,Sănătate - Medicamente OTC,"Klamoks® ES pulb./susp. orala 600mg/42,9mg/5ml 100ml N1","Bilim Pharmaceuticals AS (prod.: Bilim Pharmaceuticals AS, Turcia; Idol Ilac Dolum Sanayii ve Ticare",Turcia,"99,73"
719,Vitamine și Minerale,Klyntopic gel 10 mg + 50 mg/g 15 g N1,FarmaPrim SRL,Republica Moldova,"173,15"
720,Vitamine și Minerale,Konegra deluxe comp. masticab. 100mg N4,"Euro Lifecare Ltd (prod.: Genepharm SA, Grecia)",Marea Britanie,220
721,Vitamine și Minerale,Koxikea comp. filmate 90mg N7x4,"Rontis Hellas Medical and Pharmaceutical Products S.A., Grecia",Georgia,"181,87"
722,Sănătate - Medicamente OTC,Kreon® 10000 caps. N20,Solvay Pharmaceuticals BV,Germania,"62,99"
723,Sănătate - Medicamente OTC,Kreon® 10000 caps. N20,Solvay Pharmaceuticals BV,Germania,"60,42"
724,Sănătate - Medicamente OTC,Kreon® 25000 caps. N20,"Solvay Arzneimittel GmbH (prod.: Solvay Pharmaceuticals GmbH, Germania)",Germania,"134,87"
725,Sănătate - Medicamente OTC,L-arginina 750mg N30,Leben,Marea Britanie,"208,89"
726,Sănătate - Medicamente OTC,L-Dexopt pic. oft. sol.5 mg/1 mg/ml 5 ml N1,LLC Rompharm Company Georgia,Georgia,"87,27"
727,Vitamine și Minerale,"L-Optic pic. oft.0,5% 5 ml N1","S.C. Rompharm Company S.R.L., România(PROD: S.C. Rompharm Company S.R.L., România; )",Romania,"84,16"
728,Sănătate - Medicamente OTC,L-Thyroxin comp. 100mcg N25x4,Berlin-Chemie AG (Menarini Group),Germania,"50,7"
729,Sănătate - Medicamente OTC,L-Thyroxin comp. 100mcg N25x4,Berlin-Chemie AG (Menarini Group),Germania,"50,72"
730,Sănătate - Medicamente OTC,L-Thyroxin comp. 50 mcg N25x4,Berlin-Chemie AG (Menarini Group),Germania,"40,46"
731,Sănătate - Medicamente OTC,L-Thyroxin comp. 75 mcg N25x4,Berlin-Chemie AG (Menarini Group),Germania,"45,39"
732,Dermato-Cosmetică,La Roche Posay Crema fata Effaclar M 40ml,La Roche-Posay Laboratoire Dermatologique,Franta,"574,39"
733,Vitamine și Minerale,Lacidofil-WM caps. N20 (Microorganisme antidiareice),"World Medicine (prod.: Institut Rosell Inc., Canada)",Canada,"110,08"
734,Sănătate - Medicamente OTC,Lacto-G caps. N10,GM Pharmaceuticals,Georgia,"107,92"
735,Sănătate - Medicamente OTC,LactoBio Enterosgel gel/susp. orala 15g N30,Kreoma-Farm,Ucraina,"712,25"
736,Vitamine și Minerale,Lactodepantol ovule 100mg N5x2 Nijfarm,Nijfarm SA,Rusia,"110,05"
737,Sănătate - Medicamente OTC,Lactofiltrum ECO comp. N60,Avva Rus SAD,Rusia,"237,5"
738,Sănătate - Parafarmaceutice,Laferobion sup. 150000 UI N5,"Biofarm SA, SC",Ucraina,"61,41"
739,Sănătate - Parafarmaceutice,Lagosa® draj. 150 mg N25x4,"Worwag Pharma GmbH&Co.KG (prod.: Mauermann-Arzneimittel Franz Mauermann OHG, Germania)",Germania,"185,72"
740,Sănătate - Parafarmaceutice,Lagosa® draj. 150 mg N25x4,"Worwag Pharma GmbH&Co.KG (prod.: Mauermann-Arzneimittel Franz Mauermann OHG, Germania)",Germania,"185,14"
741,Sănătate - Medicamente OTC,Lamictal™ comp. 100 mg N28,"GlaxoSmithKline Export Ltd (prod.: GlaxoSmithKline Pharmaceuticals SA, Polonia)",Marea Britanie,"176,71"
742,Sănătate - Medicamente OTC,Lamictal™ comp. 25 mg N28,"GlaxoSmithKline Export Ltd (prod.: GlaxoSmithKline Pharmaceuticals SA, Polonia)",Marea Britanie,"48,67"
743,Sănătate - Medicamente OTC,Lamictal™ comp. 25 mg N28,"GlaxoSmithKline Export Ltd (prod.: GlaxoSmithKline Pharmaceuticals SA, Polonia)",Marea Britanie,"49,99"
744,Sănătate - Medicamente OTC,Lamictal™ comp. 25 mg N28,"GlaxoSmithKline Export Ltd (prod.: GlaxoSmithKline Pharmaceuticals SA, Polonia)",Marea Britanie,"48,47"
745,Sănătate - Medicamente OTC,Lamictal™ comp. 25 mg N28,"GlaxoSmithKline Export Ltd (prod.: GlaxoSmithKline Pharmaceuticals SA, Polonia)",Marea Britanie,"50,55"
746,Sănătate - Medicamente OTC,Lamictal™ comp. 25 mg N28,"GlaxoSmithKline Export Ltd (prod.: GlaxoSmithKline Pharmaceuticals SA, Polonia)",Marea Britanie,"48,03"
747,Sănătate - Medicamente OTC,Langena caps. N30,Adifarm LTD,Turcia,"296,94"
748,Sănătate - Medicamente OTC,Lansoprol® caps. gastrorez.15 mg N14x2,"Nobel Ilac Sanayii ve Ticaret A.S. (prod.: Nobel Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"91,99"
749,Sănătate - Medicamente OTC,Lansoprol® caps. gastrorez.15 mg N14x2,"Nobel Ilac Sanayii ve Ticaret A.S. (prod.: Nobel Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"93,11"
750,Sănătate - Medicamente OTC,Lansoprol® caps. gastrorez.30 mg N14x2,"Nobel Ilac Pazarlama ve Sanayii Ltd. Sti (prod.: Nobel Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"110,06"
751,Sănătate - Medicamente OTC,Lansoprol® caps. gastrorez.30 mg N14x2,"Nobel Ilac Pazarlama ve Sanayii Ltd. Sti (prod.: Nobel Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"111,22"
752,Vitamine și Minerale,Lantete Glucometru VIVA CHECK N100,VivaCheck Laboratories Inc,China,29
753,Vitamine și Minerale,Lantete Gucometru CLEVER CHEK TD-THIN TD-5084 N50,TaiDoc Technology Corporation,Taiwan,"16,24"
754,Vitamine și Minerale,Lantete Gucometru CLEVER CHEK TD-THIN TD-5084 N50,TaiDoc Technology Corporation,Taiwan,"18,97"
755,Vitamine și Minerale,Lantete sterile Bionime N50 ,Bionime,Elvetia,"32,42"
756,Mamă și Copil,Lantus® SoloStar® sol. inj. stilou inject. preump. 100 Unitati/ml 3 ml N5,Sanofi-Aventis Deutschland GmbH,Germania,"422,15"
757,Mamă și Copil,Lapte spray protectie solara copii Sun Marina SPF50 150ml,Biocon,Rusia,"211,33"
758,Sănătate - Medicamente OTC,Leflox comp.film. 500mg N7,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"142,1"
